python3-6103    [001] ..s..  7297.270405: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

python3-6103    [001] ..s..  7297.270411: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

python3-6103    [001] ..s..  7297.270413: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7303.269418: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7303.269437: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7303.269448: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7309.270603: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7309.270624: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7309.270625: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7310.775125: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  7310.775142: bpf_trace_printk: ICMP Packet from 35.202.28.101: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  7310.775143: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  7310.775145: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] .Ns..  7310.775146: bpf_trace_printk: ICMP Packet: src IP 651cca23, dst IP 500800a

<idle>-0       [001] ..s..  7315.268926: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7315.268938: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7315.268939: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7321.268990: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7321.269012: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7321.269014: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7327.268542: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7327.268559: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7327.268560: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7333.268707: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7333.268722: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] .Ns..  7333.268724: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7339.265998: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7339.266018: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7339.266020: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7345.267346: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7345.267359: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7345.267361: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7351.267544: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7351.267562: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7351.267564: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7357.266515: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

<idle>-0       [001] ..s..  7357.266533: bpf_trace_printk: ICMP Packet: src IP 800a0100, dst IP 100

